DN_HistogramMode_5,DN_HistogramMode_10,CO_f1ecac,CO_FirstMin_ac,CO_HistogramAMI_even_2_5,CO_trev_1_num,MD_hrv_classic_pnn40,SB_BinaryStats_mean_longstretch1,SB_TransitionMatrix_3ac_sumdiagcov,PD_PeriodicityWang_th0_01,CO_Embed2_Dist_tau_d_expfit_meandiff,IN_AutoMutualInfoStats_40_gaussian_fmmi,FC_LocalSimple_mean1_tauresrat,DN_OutlierInclude_p_001_mdrmd,DN_OutlierInclude_n_001_mdrmd,SP_Summaries_welch_rect_area_5_1,SB_BinaryStats_diff_longstretch0,SB_MotifThree_quantile_hh,SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,SP_Summaries_welch_rect_centroid,FC_LocalSimple_mean3_stderr,fractal_spectral_lag_window,fractal_spectral_multitaper,fractal_spectral_wosa,fractal_spectral_direct,lillie_test,anderson_darling,pearson_test,cramer_test,shapiro_francia,shapiro_test,adf,kpps_level,kpps_trend,pp,hurts_tsf,max_level_shift_tsf,max_var_shift_tsf,max_kl_shift_tsf,alpha_tsf,beta_tsf,gamma_tsf,firstmin_ac_tsf,firstzero_ac_tsf,std1st_der_tsf,spreadrandomlocal_meantaul_tsf,fluctanal_prop_r1_tsf
-0.96013169,-0.73129068,3,6,0.0904188,0.07323926,0.94797688,7,0.02235443,11,0.20502158,2,0.25,-0.20689655,0.25574713,0.72662468,5,2.00068544,0.14634146,0.85365854,0.51541754,0.9831768,1.186942002,1.012183138,1.006351232,1.088970506,4.13E-09,2.05E-10,5.94E-07,2.69E-08,9.22E-07,1.08E-07,0.968651528,0.1,0.1,0.01,0.976570843,345.8333333,175443.1818,0.750370891,0.365659831,0.000234661,0.000100043,6,4,381.2351954,3.22,0.146341463
-0.51755642,-0.86881424,2,6,0.08801416,0.47941867,0.92485549,6,0.0548044,11,0.09889752,2,0.25,0.32758621,-0.11494253,0.72188964,5,1.94252131,0.2195122,0.85365854,0.53996124,1.00546871,0.869599818,0.887583845,0.824365102,0.976774925,9.55E-08,8.43E-14,6.91E-11,3.06E-09,5.02E-11,1.96E-12,0.6759906,0.1,0.1,0.01,0.983319871,595,1355669.697,4.265016471,0.646791399,0.000100051,0.000100202,6,4,476.5203769,3.14,0.219512195
-0.881321503,-0.615901222,2,4,0.147260393,0.534864651,0.98265896,6,0.001892915,5,0.124511421,1,0.5,0.32183908,0.022988506,0.417335733,6,2.098322065,0.170731707,0.853658537,1.030835089,1.183401652,0.817164605,0.659851935,0.551482947,0.85930516,1.30E-05,1.38E-10,1.09E-08,1.20E-07,3.31E-08,3.02E-09,0.465284418,0.1,0.1,0.01,0.878023337,1933.333333,7074469.697,0.915206354,0.273102965,0.00010013,0.00010342,4,2,2261.609828,2.44,0.170731707
-7.77E-01,-9.42E-01,1.47E+02,4.49E+02,1.31E+00,2.38E-05,1.18E-02,2.98E+02,1.67E-01,0.00E+00,3.24E+00,4.00E+01,2.51E-02,7.96E-01,-5.73E-01,9.94E-01,8.00E+00,1.12E+00,8.51E-01,8.30E-01,6.14E-03,2.23E-02,1.91459614,1.886508862,1.940488776,1.529701558,1.47E-34,3.70E-24,4.08E-106,7.37E-10,4.10E-19,7.84E-22,0.783207221,0.01,0.01,0.952953051,0.999913465,1530.333333,504108.0076,0.339080545,0.999897373,0.014534407,0.000100079,449,239,61.1013447,4.55,0.85106383
-7.77E-01,-9.43E-01,1.46E+02,4.57E+02,1.33E+00,8.97E-07,1.92E-02,2.79E+02,1.67E-01,0.00E+00,8.57E+00,4.00E+01,1.69E-02,8.04E-01,-5.85E-01,9.94E-01,8.00E+00,1.12E+00,1.28E-01,8.30E-01,6.14E-03,1.70E-02,1.720623944,1.913531501,1.965235125,1.522789978,8.56E-33,3.70E-24,1.10E-106,7.37E-10,3.00E-19,5.50E-22,0.905979955,0.01,0.01,0.983628393,0.999913465,335.55,25106.04098,0.043708501,0.999876274,0.04687997,0.000123609,457,236,24.31260011,4.5,0.127659574
-6.56E-01,-8.21E-01,1.05E+02,3.29E+02,1.27E+00,1.01E-06,0.00E+00,1.92E+02,1.67E-01,0.00E+00,3.00E+01,4.00E+01,1.06E+00,8.13E-01,-5.17E-01,9.92E-01,1.00E+00,1.12E+00,1.74E-01,8.26E-01,1.23E-02,1.05E-02,2.402065902,2.514962382,2.581634508,1.544353536,1.86E-40,3.70E-24,4.11E-190,7.37E-10,1.16E-18,1.79E-21,0.887237057,0.01,0.01,0.99,0.999913465,1074.5925,51103.98081,0.012632771,0.692324431,0.124622628,0.307674978,329,170,28.5663652,5,0.173913043
-5.96E-01,-7.36E-01,9.90E+01,3.22E+02,1.19E+00,8.87E-07,2.01E-03,1.87E+02,7.41E-02,0.00E+00,1.50E+01,4.00E+01,4.72E-01,7.80E-01,-4.50E-01,9.95E-01,8.00E+00,1.12E+00,4.57E-01,8.26E-01,1.23E-02,1.61E-02,2.277048199,2.279098968,2.273935956,1.587284735,2.31E-66,3.70E-24,5.10E-182,7.37E-10,1.63E-21,8.18E-25,0.092362727,0.01,0.01,0.966938483,0.999913465,307.9810833,5869.154266,0.016534672,0.74357717,0.126619347,0.256422748,322,163,12.3243202,4.32,0.456521739
-1.238166661,0.079542698,80,4,0.843101844,0.001278577,0.818681319,129,0.166666667,4,0.92814504,3,0.0078125,0.778082192,-0.704109589,0.970558962,5,1.374989286,0.866666667,0.711111111,0.012271846,0.203035879,1.491110802,1.634944524,1.613550582,1.503682126,3.73E-06,5.23E-10,1.66E-11,1.67E-06,1.15E-07,6.59E-09,0.015422826,0.01,0.01,0.01,0.999551368,532.4933333,101829.7288,1.172024372,0.583900624,0.000100004,0.302194798,4,128,134.2962534,2.34,0.866666667
-0.488189873,-0.683058789,65,11,0.891952523,0.003323892,0.543956044,122,0.074074074,11,0.669756203,5,0.008547009,0.846575342,-0.442465753,0.981426943,5,1.399209327,0.355555556,0.8,0.012271846,0.176969401,1.414549673,1.501718222,1.549504776,1.47830256,7.30E-52,3.70E-24,3.53E-140,7.37E-10,4.10E-18,6.08E-21,0.898704998,0.01,0.01,0.189884679,0.999568564,1993.308333,2331600.499,0.408252573,0.636145596,0.003235038,0.363854381,11,117,543.1157252,2.6,0.355555556
-0.673837898,-0.474231336,68,10,0.802760577,-0.001885243,0.854395604,116,0.166666667,11,0.62089836,3,0.007751938,0.769863014,-0.8,0.949391623,6,1.609247077,0.444444444,0.266666667,0.012271846,0.283813663,1.132186947,1.238678111,1.279899656,1.393142017,1.36E-06,4.42E-08,1.53E-06,9.79E-07,5.60E-06,5.51E-07,0.433866717,0.01,0.01,0.01,0.998903182,342.1916667,49442.36,0.309613324,0.361032671,0.001896366,0.000119078,10,129,192.8984784,2.57,0.444444444
